COM Port 2:
2018/10/14 21:52:05:249;-üpþ|ü||þþþøþþøæ'þþ||öðÊ®3fÃ05953
2018/10/14 21:52:05:393;05951
2018/10/14 21:52:05:393;05951
2018/10/14 21:52:05:393;05952
2018/10/14 21:52:05:393;05946
2018/10/14 21:52:05:393;05947
2018/10/14 21:52:05:393;05952
2018/10/14 21:52:05:393;05947
2018/10/14 21:52:05:393;05951
2018/10/14 21:52:05:394;05945
2018/10/14 21:52:05:409;05945
2018/10/14 21:52:05:409;05951
2018/10/14 21:52:05:409;05953
2018/10/14 21:52:05:409;05952
2018/10/14 21:52:05:409;05952
2018/10/14 21:52:05:409;05953
2018/10/14 21:52:05:409;05953
2018/10/14 21:52:05:409;05952
2018/10/14 21:52:05:409;05953
2018/10/14 21:52:05:409;05953
2018/10/14 21:52:05:425;05953
2018/10/14 21:52:05:425;05952
2018/10/14 21:52:05:425;05952
2018/10/14 21:52:05:425;05952
2018/10/14 21:52:05:425;05953
2018/10/14 21:52:05:425;05954
2018/10/14 21:52:05:425;05953
2018/10/14 21:52:05:425;05953
2018/10/14 21:52:05:425;05953
2018/10/14 21:52:05:441;05953
2018/10/14 21:52:05:441;05953
2018/10/14 21:52:05:441;05953
2018/10/14 21:52:05:441;05953
2018/10/14 21:52:05:441;05951
2018/10/14 21:52:05:441;05952
2018/10/14 21:52:05:441;05953
2018/10/14 21:52:05:441;05953
2018/10/14 21:52:05:441;05953
2018/10/14 21:52:05:441;05951
2018/10/14 21:52:05:457;05952
2018/10/14 21:52:05:457;05952
2018/10/14 21:52:05:457;05953
2018/10/14 21:52:05:457;05953
2018/10/14 21:52:05:457;05952
2018/10/14 21:52:05:457;05953
2018/10/14 21:52:05:457;05953
2018/10/14 21:52:05:457;05952
2018/10/14 21:52:05:457;05954
2018/10/14 21:52:05:473;05953
2018/10/14 21:52:05:473;05953
2018/10/14 21:52:05:473;05953
2018/10/14 21:52:05:473;05952
2018/10/14 21:52:05:473;05953
2018/10/14 21:52:05:473;05953
2018/10/14 21:52:05:473;05952
2018/10/14 21:52:05:473;05953
2018/10/14 21:52:05:473;05952
2018/10/14 21:52:05:473;05953
2018/10/14 21:52:05:489;05952
2018/10/14 21:52:05:489;05952
2018/10/14 21:52:05:489;05952
2018/10/14 21:52:05:489;05952
2018/10/14 21:52:05:489;05952
2018/10/14 21:52:05:489;05953
2018/10/14 21:52:05:489;05953
2018/10/14 21:52:05:489;05953
2018/10/14 21:52:05:489;05952
2018/10/14 21:52:05:505;05953
2018/10/14 21:52:05:505;05952
2018/10/14 21:52:05:505;05953
2018/10/14 21:52:05:505;05953
2018/10/14 21:52:05:505;05953
2018/10/14 21:52:05:505;05952
2018/10/14 21:52:05:505;05953
2018/10/14 21:52:05:505;05953
2018/10/14 21:52:05:505;05953
2018/10/14 21:52:05:506;05953
2018/10/14 21:52:05:521;05953
2018/10/14 21:52:05:521;05952
2018/10/14 21:52:05:521;05951
2018/10/14 21:52:05:521;05953
2018/10/14 21:52:05:521;05952
2018/10/14 21:52:05:521;05952
2018/10/14 21:52:05:521;05953
2018/10/14 21:52:05:521;05952
2018/10/14 21:52:05:521;05953
2018/10/14 21:52:05:537;05953
2018/10/14 21:52:05:537;05952
2018/10/14 21:52:05:537;05953
2018/10/14 21:52:05:537;05952
2018/10/14 21:52:05:537;05953
2018/10/14 21:52:05:537;05952
2018/10/14 21:52:05:537;05952
2018/10/14 21:52:05:537;05952
2018/10/14 21:52:05:537;05952
2018/10/14 21:52:05:537;05952
2018/10/14 21:52:05:553;05952
2018/10/14 21:52:05:553;05953
2018/10/14 21:52:05:553;05951
2018/10/14 21:52:05:553;05952
2018/10/14 21:52:05:553;05952
2018/10/14 21:52:05:553;05952
2018/10/14 21:52:05:553;05953
2018/10/14 21:52:05:553;05953
2018/10/14 21:52:05:553;05953
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05952
2018/10/14 21:52:05:569;05953
2018/10/14 21:52:05:585;05952
2018/10/14 21:52:05:585;05952
2018/10/14 21:52:05:585;05953
2018/10/14 21:52:05:585;05952
2018/10/14 21:52:05:585;05953
2018/10/14 21:52:05:585;05953
2018/10/14 21:52:05:585;05953
2018/10/14 21:52:05:585;05953
2018/10/14 21:52:05:585;05952
2018/10/14 21:52:05:601;05952
2018/10/14 21:52:05:601;05952
2018/10/14 21:52:05:601;05952
2018/10/14 21:52:05:601;05952
2018/10/14 21:52:05:601;05953
2018/10/14 21:52:05:601;05953
2018/10/14 21:52:05:601;05952
2018/10/14 21:52:05:601;05952
2018/10/14 21:52:05:601;05952
2018/10/14 21:52:05:601;05953
2018/10/14 21:52:05:617;05952
2018/10/14 21:52:05:617;05952
2018/10/14 21:52:05:617;05953
2018/10/14 21:52:05:617;05952
2018/10/14 21:52:05:617;05952
2018/10/14 21:52:05:617;05953
2018/10/14 21:52:05:617;05953
2018/10/14 21:52:05:617;05953
2018/10/14 21:52:05:617;05952
2018/10/14 21:52:05:633;05953
2018/10/14 21:52:05:633;05953
2018/10/14 21:52:05:633;05952
2018/10/14 21:52:05:633;05954
2018/10/14 21:52:05:633;05953
2018/10/14 21:52:05:633;05954
2018/10/14 21:52:05:633;05953
2018/10/14 21:52:05:633;05953
2018/10/14 21:52:05:633;05953
2018/10/14 21:52:05:633;05954
2018/10/14 21:52:05:649;05952
2018/10/14 21:52:05:649;05953
2018/10/14 21:52:05:649;05953
2018/10/14 21:52:05:649;05952
2018/10/14 21:52:05:649;05952
2018/10/14 21:52:05:649;05953
2018/10/14 21:52:05:649;05953
2018/10/14 21:52:05:649;05953
2018/10/14 21:52:05:649;05953
2018/10/14 21:52:05:665;05953
2018/10/14 21:52:05:665;05952
2018/10/14 21:52:05:665;05951
2018/10/14 21:52:05:665;05952
2018/10/14 21:52:05:665;05951
2018/10/14 21:52:05:665;05952
2018/10/14 21:52:05:665;05952
2018/10/14 21:52:05:665;05952
2018/10/14 21:52:05:665;05952
2018/10/14 21:52:05:665;05952
2018/10/14 21:52:05:681;05952
2018/10/14 21:52:05:681;05952
2018/10/14 21:52:05:681;05953
2018/10/14 21:52:05:681;05952
2018/10/14 21:52:05:681;05953
2018/10/14 21:52:05:681;05954
2018/10/14 21:52:05:681;05953
2018/10/14 21:52:05:681;05952
2018/10/14 21:52:05:681;05952
2018/10/14 21:52:05:697;05952
2018/10/14 21:52:05:697;05951
2018/10/14 21:52:05:697;05952
2018/10/14 21:52:05:697;05952
2018/10/14 21:52:05:697;05951
2018/10/14 21:52:05:697;05951
2018/10/14 21:52:05:697;05953
2018/10/14 21:52:05:697;05951
2018/10/14 21:52:05:697;05952
2018/10/14 21:52:05:698;05953
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:713;05953
2018/10/14 21:52:05:713;05952
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05952
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05953
2018/10/14 21:52:05:729;05952
2018/10/14 21:52:05:745;05952
2018/10/14 21:52:05:745;05952
2018/10/14 21:52:05:745;05952
2018/10/14 21:52:05:745;05953
2018/10/14 21:52:05:745;05952
2018/10/14 21:52:05:745;05952
2018/10/14 21:52:05:745;05952
2018/10/14 21:52:05:745;05953
2018/10/14 21:52:05:745;05953
2018/10/14 21:52:05:761;05952
2018/10/14 21:52:05:761;05953
2018/10/14 21:52:05:761;05953
2018/10/14 21:52:05:761;05952
2018/10/14 21:52:05:761;05952
2018/10/14 21:52:05:761;05952
2018/10/14 21:52:05:761;05953
2018/10/14 21:52:05:761;05953
2018/10/14 21:52:05:761;05952
2018/10/14 21:52:05:761;05953
2018/10/14 21:52:05:777;05952
2018/10/14 21:52:05:777;05952
2018/10/14 21:52:05:777;05952
2018/10/14 21:52:05:777;05953
2018/10/14 21:52:05:777;05952
2018/10/14 21:52:05:777;05953
2018/10/14 21:52:05:777;05952
2018/10/14 21:52:05:777;05953
2018/10/14 21:52:05:777;05952
2018/10/14 21:52:05:793;05952
2018/10/14 21:52:05:793;05953
2018/10/14 21:52:05:793;05953
2018/10/14 21:52:05:793;05952
2018/10/14 21:52:05:793;05952
2018/10/14 21:52:05:793;05953
2018/10/14 21:52:05:793;05953
2018/10/14 21:52:05:793;05953
2018/10/14 21:52:05:793;05953
2018/10/14 21:52:05:793;05952
2018/10/14 21:52:05:809;05952
2018/10/14 21:52:05:809;05952
2018/10/14 21:52:05:809;05953
2018/10/14 21:52:05:809;05953
2018/10/14 21:52:05:809;05953
2018/10/14 21:52:05:809;05953
2018/10/14 21:52:05:809;05953
2018/10/14 21:52:05:809;05952
2018/10/14 21:52:05:809;05953
2018/10/14 21:52:05:825;05953
2018/10/14 21:52:05:825;05952
2018/10/14 21:52:05:825;05953
2018/10/14 21:52:05:825;05953
2018/10/14 21:52:05:825;05952
2018/10/14 21:52:05:825;05953
2018/10/14 21:52:05:825;05952
2018/10/14 21:52:05:825;05952
2018/10/14 21:52:05:825;05952
2018/10/14 21:52:05:825;05952
2018/10/14 21:52:05:841;05953
2018/10/14 21:52:05:841;05951
2018/10/14 21:52:05:841;05952
2018/10/14 21:52:05:841;05952
2018/10/14 21:52:05:841;05952
2018/10/14 21:52:05:841;05953
2018/10/14 21:52:05:841;05952
2018/10/14 21:52:05:841;05951
2018/10/14 21:52:05:841;05952
2018/10/14 21:52:05:857;05952
2018/10/14 21:52:05:857;05951
2018/10/14 21:52:05:857;05952
2018/10/14 21:52:05:857;05952
2018/10/14 21:52:05:857;05952
2018/10/14 21:52:05:857;05951
2018/10/14 21:52:05:857;05952
2018/10/14 21:52:05:857;05951
2018/10/14 21:52:05:857;05952
2018/10/14 21:52:05:857;05951
2018/10/14 21:52:05:873;05952
2018/10/14 21:52:05:873;05951
2018/10/14 21:52:05:873;05951
2018/10/14 21:52:05:873;05951
2018/10/14 21:52:05:873;05952
2018/10/14 21:52:05:873;05951
2018/10/14 21:52:05:873;05952
2018/10/14 21:52:05:873;05952
2018/10/14 21:52:05:873;05952
2018/10/14 21:52:05:889;05951
2018/10/14 21:52:05:889;05951
2018/10/14 21:52:05:889;05952
2018/10/14 21:52:05:889;05952
2018/10/14 21:52:05:889;05952
2018/10/14 21:52:05:889;05953
2018/10/14 21:52:05:889;05952
2018/10/14 21:52:05:889;05953
2018/10/14 21:52:05:889;05951
2018/10/14 21:52:05:889;05951
2018/10/14 21:52:05:905;05952
2018/10/14 21:52:05:905;05951
2018/10/14 21:52:05:905;05951
2018/10/14 21:52:05:905;05951
2018/10/14 21:52:05:905;05952
2018/10/14 21:52:05:905;05951
2018/10/14 21:52:05:905;05951
2018/10/14 21:52:05:905;05952
2018/10/14 21:52:05:905;05951
2018/10/14 21:52:05:920;05951
2018/10/14 21:52:05:921;05951
2018/10/14 21:52:05:921;05951
2018/10/14 21:52:05:921;05953
2018/10/14 21:52:05:921;05952
2018/10/14 21:52:05:921;05952
2018/10/14 21:52:05:921;05953
2018/10/14 21:52:05:921;05953
2018/10/14 21:52:05:921;05953
2018/10/14 21:52:05:921;05952
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:937;05953
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:937;05952
2018/10/14 21:52:05:952;05953
2018/10/14 21:52:05:953;05951
2018/10/14 21:52:05:953;05952
2018/10/14 21:52:05:953;05952
2018/10/14 21:52:05:953;05952
2018/10/14 21:52:05:953;05952
2018/10/14 21:52:05:953;05952
2018/10/14 21:52:05:953;05953
2018/10/14 21:52:05:953;05953
2018/10/14 21:52:05:953;05952
2018/10/14 21:52:05:968;05953
2018/10/14 21:52:05:969;05952
2018/10/14 21:52:05:969;05952
2018/10/14 21:52:05:969;05953
2018/10/14 21:52:05:969;05953
2018/10/14 21:52:05:969;05952
2018/10/14 21:52:05:969;05952
2018/10/14 21:52:05:969;05952
2018/10/14 21:52:05:969;05951
2018/10/14 21:52:05:984;05952
2018/10/14 21:52:05:985;05952
2018/10/14 21:52:05:985;05952
2018/10/14 21:52:05:985;05951
2018/10/14 21:52:05:985;05950
2018/10/14 21:52:05:985;05950
2018/10/14 21:52:05:985;05950
2018/10/14 21:52:05:985;05951
2018/10/14 21:52:05:985;05951
2018/10/14 21:52:05:985;05951
2018/10/14 21:52:06:000;05952
2018/10/14 21:52:06:001;05951
2018/10/14 21:52:06:001;05951
2018/10/14 21:52:06:001;05953
2018/10/14 21:52:06:001;05952
2018/10/14 21:52:06:001;05952
2018/10/14 21:52:06:001;05954
2018/10/14 21:52:06:001;05952
2018/10/14 21:52:06:001;05952
2018/10/14 21:52:06:016;05953
2018/10/14 21:52:06:017;05953
2018/10/14 21:52:06:017;05954
2018/10/14 21:52:06:017;05953
2018/10/14 21:52:06:017;05953
2018/10/14 21:52:06:017;05952
2018/10/14 21:52:06:017;05952
2018/10/14 21:52:06:017;05952
2018/10/14 21:52:06:017;05952
2018/10/14 21:52:06:017;05951
2018/10/14 21:52:06:033;05953
2018/10/14 21:52:06:033;05952
2018/10/14 21:52:06:033;05951
2018/10/14 21:52:06:033;05952
2018/10/14 21:52:06:033;05952
2018/10/14 21:52:06:033;05952
2018/10/14 21:52:06:033;05953
2018/10/14 21:52:06:033;05952
2018/10/14 21:52:06:033;05952
2018/10/14 21:52:06:048;05952
2018/10/14 21:52:06:048;05952
2018/10/14 21:52:06:049;05952
2018/10/14 21:52:06:049;05953
2018/10/14 21:52:06:049;05953
2018/10/14 21:52:06:049;05953
2018/10/14 21:52:06:049;05952
2018/10/14 21:52:06:049;05953
2018/10/14 21:52:06:049;05952
2018/10/14 21:52:06:049;05951
2018/10/14 21:52:06:064;05952
2018/10/14 21:52:06:065;05952
2018/10/14 21:52:06:065;05952
2018/10/14 21:52:06:065;05952
2018/10/14 21:52:06:065;05952
2018/10/14 21:52:06:065;05952
2018/10/14 21:52:06:065;05953
2018/10/14 21:52:06:065;05953
2018/10/14 21:52:06:065;05953
2018/10/14 21:52:06:080;05952
2018/10/14 21:52:06:080;05952
2018/10/14 21:52:06:081;05952
2018/10/14 21:52:06:081;05952
2018/10/14 21:52:06:081;05952
2018/10/14 21:52:06:081;05952
2018/10/14 21:52:06:081;05953
2018/10/14 21:52:06:081;05952
2018/10/14 21:52:06:081;05951
2018/10/14 21:52:06:081;05952
2018/10/14 21:52:06:096;05952
2018/10/14 21:52:06:096;05951
2018/10/14 21:52:06:097;05951
2018/10/14 21:52:06:097;05952
2018/10/14 21:52:06:097;05952
2018/10/14 21:52:06:097;05951
2018/10/14 21:52:06:097;05951
2018/10/14 21:52:06:097;05950
2018/10/14 21:52:06:097;05952
2018/10/14 21:52:06:112;05951
2018/10/14 21:52:06:112;05952
2018/10/14 21:52:06:112;05951
2018/10/14 21:52:06:113;05953
2018/10/14 21:52:06:113;05953
2018/10/14 21:52:06:113;05952
2018/10/14 21:52:06:113;05952
2018/10/14 21:52:06:113;05952
2018/10/14 21:52:06:113;05952
2018/10/14 21:52:06:113;05951
2018/10/14 21:52:06:128;05952
2018/10/14 21:52:06:129;05952
2018/10/14 21:52:06:129;05952
2018/10/14 21:52:06:129;05952
2018/10/14 21:52:06:129;05953
2018/10/14 21:52:06:129;05951
2018/10/14 21:52:06:129;05951
2018/10/14 21:52:06:129;05951
2018/10/14 21:52:06:129;05951
2018/10/14 21:52:06:144;05952
2018/10/14 21:52:06:144;05952
2018/10/14 21:52:06:144;05951
2018/10/14 21:52:06:144;05953
2018/10/14 21:52:06:145;05952
2018/10/14 21:52:06:145;05952
2018/10/14 21:52:06:145;05952
2018/10/14 21:52:06:145;05951
2018/10/14 21:52:06:145;05952
2018/10/14 21:52:06:145;05951
2018/10/14 21:52:06:160;05951
2018/10/14 21:52:06:160;05951
2018/10/14 21:52:06:160;05950
2018/10/14 21:52:06:160;05950
2018/10/14 21:52:06:161;05950
2018/10/14 21:52:06:161;05952
2018/10/14 21:52:06:161;05950
2018/10/14 21:52:06:161;05952
2018/10/14 21:52:06:161;05952
2018/10/14 21:52:06:176;05952
2018/10/14 21:52:06:176;05952
2018/10/14 21:52:06:176;05952
2018/10/14 21:52:06:176;05952
2018/10/14 21:52:06:176;05953
2018/10/14 21:52:06:176;05952
2018/10/14 21:52:06:177;05954
2018/10/14 21:52:06:177;05952
2018/10/14 21:52:06:177;05953
2018/10/14 21:52:06:177;05951
2018/10/14 21:52:06:192;05951
2018/10/14 21:52:06:192;05952
2018/10/14 21:52:06:192;05952
2018/10/14 21:52:06:192;05952
2018/10/14 21:52:06:193;05952
2018/10/14 21:52:06:193;05952
2018/10/14 21:52:06:193;05953
2018/10/14 21:52:06:193;05953
2018/10/14 21:52:06:193;05954
2018/10/14 21:52:06:208;05952
2018/10/14 21:52:06:208;05954
2018/10/14 21:52:06:208;05953
2018/10/14 21:52:06:208;05952
2018/10/14 21:52:06:208;05953
2018/10/14 21:52:06:208;05952
2018/10/14 21:52:06:208;05952
2018/10/14 21:52:06:209;05952
2018/10/14 21:52:06:209;05952
2018/10/14 21:52:06:209;05953
2018/10/14 21:52:06:224;05953
2018/10/14 21:52:06:224;05953
2018/10/14 21:52:06:224;05953
2018/10/14 21:52:06:224;05953
2018/10/14 21:52:06:224;05952
2018/10/14 21:52:06:225;05952
2018/10/14 21:52:06:225;05953
2018/10/14 21:52:06:225;05952
2018/10/14 21:52:06:225;05952
2018/10/14 21:52:06:240;05953
2018/10/14 21:52:06:240;05952
2018/10/14 21:52:06:240;05953
2018/10/14 21:52:06:240;05952
2018/10/14 21:52:06:240;05952
2018/10/14 21:52:06:240;05953
2018/10/14 21:52:06:240;05952
2018/10/14 21:52:06:240;05953
2018/10/14 21:52:06:241;05953
2018/10/14 21:52:06:241;05952
2018/10/14 21:52:06:256;05952
2018/10/14 21:52:06:256;05953
2018/10/14 21:52:06:257;05952
2018/10/14 21:52:06:257;05952
2018/10/14 21:52:06:257;05953
2018/10/14 21:52:06:257;05953
2018/10/14 21:52:06:257;05952
2018/10/14 21:52:06:257;05952
2018/10/14 21:52:06:257;05952
2018/10/14 21:52:06:272;05952
2018/10/14 21:52:06:272;05953
2018/10/14 21:52:06:272;05953
2018/10/14 21:52:06:272;05952
2018/10/14 21:52:06:272;05952
2018/10/14 21:52:06:272;05953
2018/10/14 21:52:06:273;05952
2018/10/14 21:52:06:273;05952
2018/10/14 21:52:06:273;05952
2018/10/14 21:52:06:273;05953
2018/10/14 21:52:06:288;05952
2018/10/14 21:52:06:288;05952
2018/10/14 21:52:06:288;05953
2018/10/14 21:52:06:288;05952
2018/10/14 21:52:06:288;05952
2018/10/14 21:52:06:288;05953
2018/10/14 21:52:06:289;05953
2018/10/14 21:52:06:289;05953
2018/10/14 21:52:06:289;05953
2018/10/14 21:52:06:304;05953
2018/10/14 21:52:06:304;05952
2018/10/14 21:52:06:304;05952
2018/10/14 21:52:06:304;05953
2018/10/14 21:52:06:305;05952
2018/10/14 21:52:06:305;05952
2018/10/14 21:52:06:305;05951
2018/10/14 21:52:06:305;05952
2018/10/14 21:52:06:305;05951
2018/10/14 21:52:06:305;05953
2018/10/14 21:52:06:320;05953
2018/10/14 21:52:06:320;05953
2018/10/14 21:52:06:320;05951
2018/10/14 21:52:06:320;05952
2018/10/14 21:52:06:320;05952
2018/10/14 21:52:06:320;05953
2018/10/14 21:52:06:321;05953
2018/10/14 21:52:06:321;05953
2018/10/14 21:52:06:321;05953
2018/10/14 21:52:06:336;05953
2018/10/14 21:52:06:336;05952
2018/10/14 21:52:06:336;05952
2018/10/14 21:52:06:337;05952
2018/10/14 21:52:06:337;05951
2018/10/14 21:52:06:337;05952
2018/10/14 21:52:06:337;05952
2018/10/14 21:52:06:337;05952
2018/10/14 21:52:06:337;05953
2018/10/14 21:52:06:337;05953
2018/10/14 21:52:06:352;05953
2018/10/14 21:52:06:352;05952
2018/10/14 21:52:06:352;05952
2018/10/14 21:52:06:352;05952
2018/10/14 21:52:06:352;05952
2018/10/14 21:52:06:352;05952
2018/10/14 21:52:06:352;05951
2018/10/14 21:52:06:352;05952
2018/10/14 21:52:06:352;05951
2018/10/14 21:52:06:368;05952
2018/10/14 21:52:06:368;05952
2018/10/14 21:52:06:368;05952
2018/10/14 21:52:06:368;05952
2018/10/14 21:52:06:368;05952
2018/10/14 21:52:06:368;05952
2018/10/14 21:52:06:368;05953
2018/10/14 21:52:06:368;05952
2018/10/14 21:52:06:368;05953
2018/10/14 21:52:06:369;05954
2018/10/14 21:52:06:384;05954
2018/10/14 21:52:06:384;05954
2018/10/14 21:52:06:384;05953
2018/10/14 21:52:06:384;05953
2018/10/14 21:52:06:384;05953
2018/10/14 21:52:06:384;05952
2018/10/14 21:52:06:384;05953
2018/10/14 21:52:06:384;05952
2018/10/14 21:52:06:384;05952
2018/10/14 21:52:06:400;05952
2018/10/14 21:52:06:400;05951
2018/10/14 21:52:06:400;05951
2018/10/14 21:52:06:400;05951
2018/10/14 21:52:06:400;05952
2018/10/14 21:52:06:400;05952
2018/10/14 21:52:06:400;05952
2018/10/14 21:52:06:400;05952
2018/10/14 21:52:06:400;05953
2018/10/14 21:52:06:400;05952
2018/10/14 21:52:06:416;05953
2018/10/14 21:52:06:416;05952
2018/10/14 21:52:06:416;05953
2018/10/14 21:52:06:416;05952
2018/10/14 21:52:06:416;05953
2018/10/14 21:52:06:416;05953
2018/10/14 21:52:06:416;05952
2018/10/14 21:52:06:416;05951
2018/10/14 21:52:06:416;05952
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:432;05951
2018/10/14 21:52:06:432;05953
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:432;05952
2018/10/14 21:52:06:448;05952
2018/10/14 21:52:06:448;05952
2018/10/14 21:52:06:448;05952
2018/10/14 21:52:06:448;05952
2018/10/14 21:52:06:448;05953
2018/10/14 21:52:06:448;05952
2018/10/14 21:52:06:448;05952
2018/10/14 21:52:06:448;05953
2018/10/14 21:52:06:448;05952
2018/10/14 21:52:06:464;05952
2018/10/14 21:52:06:464;05953
2018/10/14 21:52:06:464;05953
2018/10/14 21:52:06:464;05952
2018/10/14 21:52:06:464;05951
2018/10/14 21:52:06:464;05952
2018/10/14 21:52:06:464;05952
2018/10/14 21:52:06:464;05952
2018/10/14 21:52:06:464;05951
2018/10/14 21:52:06:464;05951
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05950
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:480;05952
2018/10/14 21:52:06:496;05952
2018/10/14 21:52:06:496;05951
2018/10/14 21:52:06:496;05951
2018/10/14 21:52:06:496;05951
2018/10/14 21:52:06:496;05951
2018/10/14 21:52:06:496;05951
2018/10/14 21:52:06:496;05951
2018/10/14 21:52:06:496;05951
2018/10/14 21:52:06:496;05952
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05951
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05952
2018/10/14 21:52:06:512;05951
2018/10/14 21:52:06:528;05951
2018/10/14 21:52:06:528;05951
2018/10/14 21:52:06:528;05951
2018/10/14 21:52:06:528;05952
2018/10/14 21:52:06:528;05952
2018/10/14 21:52:06:528;05952
2018/10/14 21:52:06:528;05952
2018/10/14 21:52:06:528;05953
2018/10/14 21:52:06:528;05952
2018/10/14 21:52:06:544;05952
2018/10/14 21:52:06:544;05952
2018/10/14 21:52:06:544;05952
2018/10/14 21:52:06:544;05952
2018/10/14 21:52:06:544;05952
2018/10/14 21:52:06:544;05952
2018/10/14 21:52:06:544;05952
2018/10/14 21:52:06:544;05952
